"Timestamp","Question 1","Question 2","Question 3","Question 4","Question 5","Question 1","Question 2","Question 3","Question 4","Question 5","Question 1","Question 2","Question 3","Question 4","Question 5","Question 1","Question 2","Question 3","Question 4","Question 5"
"2019/04/10 4:01:10 pm GMT+3","37","42","67","86","25","91","87","67","61","17","90","40","70","50","90","50","70","90","39","80"
"2019/04/10 4:01:10 pm GMT+3","30","40","55","15","22","90","92","60","59","10","50","48","70","55","89","52","68","95","39","77"
"2019/04/10 4:01:10 pm GMT+3","25","40","55","80","25","80","85","55","50","15","20","20","50","30","80","50","80","95","40","70"
"2019/04/10 4:01:10 pm GMT+3","30","40","53","80","23","85","90","63","65","10","40","35","75","45","80","55","77","95","40","77"
"2019/04/10 4:01:10 pm GMT+3","33","40","56","83","30","85","90","65","71","10","40","30","70","60","80","50","75","92","43","78"
"2019/04/10 4:01:10 pm GMT+3","33.3","40","57","90","25","85","92","60","53","11","18","8","77","50","67","50","70","95","40","77"
"2019/04/10 4:01:10 pm GMT+3","33","45","66","92","30","85","87","60","57","10","15","15","85","70","95","55","77","97","40","80"
"2019/04/10 4:01:11 pm GMT+3","33.3","40","55","80","25","90","95","60","50","10","10","20","80","70","90","50","70","90","40","80"
"2019/04/10 4:01:12 pm GMT+3","35","40","51","85","15","90","80","87","60","10","25","20","75","35","85","59","75","98","40","78"
"2019/04/10 4:01:12 pm GMT+3","30","40","65","80","20","80","60","90","57","10","50","45","70","50","70","55","70","96","42","76"
"2019/04/10 4:01:13 pm GMT+3","34","45","55","90","25","85","92","58","50","8","50","40","80","82","90","58","70","98","40","77"
"2019/04/10 4:01:13 pm GMT+3","31","41","56","85","23","85","90","57","70","17","40","30","80","60","88","56","72","96","43","80"
"2019/04/10 4:01:13 pm GMT+3","33","42","58","80","30","85","90","60","55","12","30","45","70","50","80","53","70","95","39","75"
"2019/04/10 4:01:13 pm GMT+3","25","35","57","85","23","85","92","60","53","8","30","25","70","65","68","58","72","95","38","78"
"2019/04/10 4:01:13 pm GMT+3","33","40","60","80","28","80","90","60","55","10","25","35","50","40","65","55","70","95","40","79"
"2019/04/10 4:01:13 pm GMT+3","26","39","60","88","23","87","92","65","61","10","30","35","60","50","80","52","75","96","40","78"
"2019/04/10 4:01:13 pm GMT+3","33","40","60","90","25","85","90","60","55","10","20","15","70","50","70","50","70","95","40","75"
"2019/04/10 4:01:14 pm GMT+3","33","45","60","88","25","85","90","65","70","18","25","20","70","58","90","55","72","92","45","80"
"2019/04/10 4:01:15 pm GMT+3","25","40","60","85","25","90","93","62","58","7","23","27","76","52","89","50","65","97","41","74"
"2019/04/10 4:01:16 pm GMT+3","27","42","61","86","21","85","88","62","59","12","40","20","70","30","90","50","72","91","40","78"
"2019/04/10 4:01:16 pm GMT+3","34","45","54","88","25","82","88","73","60","10","23","23","46","37","48","52","86","96","43","79"
"2019/04/10 4:01:18 pm GMT+3","31","45","54","86","23","88","91","62","59","13","55","45","84","63","90","53","71","96","43","76"
"2019/04/10 4:01:19 pm GMT+3","40","45","55","77","24","86","89","60","54","12","40","37","78","65","75","50","80","99","39","78"
"2019/04/10 4:01:22 pm GMT+3","26","40","58","85","24","88","90","60","56","12","50","45","80","55","90","56","72","95`","39","77"
"2019/04/10 4:01:24 pm GMT+3","25","35","60","85","15","74","90","60","55","10","30","20","70","55","80","50","70","90","40","70"
"2019/04/10 4:01:25 pm GMT+3","25","30","60","80","25","91","95","61","61","11","33","31","80","55","85","57","67","91","43","78"
"2019/04/10 4:01:29 pm GMT+3","38","42","57","89","38","84","92","65","67","8","33","34","76","66","87","52","67","93","39","79"
"2019/04/10 4:01:29 pm GMT+3","33","40","54","79","20","87","94","63","54","7","25","18","84","40","70","50","65","97","42","77"
"2019/04/10 4:03:04 pm GMT+3","25","40","60","75","20","80","80","65","65","10","20","25","60","25","60","95","40","80","45","90"
"2019/04/10 4:06:04 pm GMT+3","7","90","50","70","30","20","40","15","1","7","90","56","44","14","3","9","9","8","6","4"